

Macro-F1: 0.935577, 0.933675, 0.930666, 0.925020, 0.916842, 0.905268, 0.886987
Micro-F1: 0.934472, 0.932702, 0.929938, 0.924193, 0.916204, 0.904913, 0.888299

Macro-F1: 0.936764, 0.936600, 0.933282, 0.928809, 0.923013, 0.914065, 0.895003
Micro-F1: 0.935839, 0.935738, 0.932635, 0.928067, 0.922447, 0.913580, 0.895984

Macro-F1: 0.938128, 0.937946, 0.934729, 0.929819, 0.924249, 0.914000, 0.895523
Micro-F1: 0.937391, 0.937283, 0.934229, 0.929212, 0.923772, 0.913802, 0.896523

Macro-F1: 0.938128, 0.937946, 0.934729, 0.929819, 0.924249, 0.914000, 0.895523
Micro-F1: 0.937391, 0.937283, 0.934229, 0.929212, 0.923772, 0.913802, 0.896523

Macro-F1: 0.937069, 0.937281, 0.934076, 0.928959, 0.923167, 0.913529, 0.894604
Micro-F1: 0.936242, 0.936498, 0.933494, 0.928342, 0.922671, 0.913285, 0.895723

Macro-F1: 0.937236, 0.937217, 0.934073, 0.929154, 0.923726, 0.914494, 0.894168
Micro-F1: 0.936351, 0.936398, 0.933458, 0.928436, 0.923144, 0.914070, 0.895218

Macro-F1: 0.936342, 0.936180, 0.932970, 0.928637, 0.923022, 0.914181, 0.894918
Micro-F1: 0.935497, 0.935435, 0.932402, 0.927958, 0.922453, 0.913799, 0.895974

Macro-F1: 0.938128, 0.937946, 0.934729, 0.929819, 0.924249, 0.914000, 0.895523
Micro-F1: 0.937391, 0.937283, 0.934229, 0.929212, 0.923772, 0.913802, 0.896523

Macro-F1: 0.936849, 0.935640, 0.932916, 0.928159, 0.923683, 0.916038, 0.896219
Micro-F1: 0.935885, 0.934860, 0.932288, 0.927403, 0.923088, 0.915554, 0.897154

Macro-F1: 0.933707, 0.933474, 0.930218, 0.925651, 0.919390, 0.910876, 0.893537
Micro-F1: 0.932733, 0.932632, 0.929550, 0.924872, 0.918816, 0.910539, 0.894672

Macro-F1: 0.936571, 0.935726, 0.932544, 0.927529, 0.921390, 0.911080, 0.893235
Micro-F1: 0.935559, 0.934860, 0.931817, 0.926778, 0.920818, 0.910798, 0.894085

Macro-F1: 0.936571, 0.935726, 0.932544, 0.927529, 0.921390, 0.911080, 0.893235
Micro-F1: 0.935559, 0.934860, 0.931817, 0.926778, 0.920818, 0.910798, 0.894085

Macro-F1: 0.938126, 0.937606, 0.934507, 0.928763, 0.923160, 0.914378, 0.894499
